2023-06-08 22:11:59.142 -05 [21292] LOG:  el sistema de bases de datos fue apagado en 2023-06-08 22:11:50 -05
2023-06-08 22:11:59.194 -05 [13728] LOG:  el sistema de bases de datos está listo para aceptar conexiones
2023-06-08 22:13:50.974 -05 [24184] FATAL:  no existe la base de datos «Odoo15»
2023-06-08 22:13:51.021 -05 [10140] FATAL:  no existe la base de datos «Odoo15»
2023-06-08 22:13:51.134 -05 [21168] FATAL:  no existe la base de datos «Odoo15»
2023-06-08 22:21:54.738 -05 [17732] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.554 -05 [8148] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.555 -05 [19916] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.555 -05 [8332] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.555 -05 [20564] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.555 -05 [720] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.556 -05 [10252] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:30:15.556 -05 [20112] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.224 -05 [864] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.224 -05 [22016] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.224 -05 [11608] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.225 -05 [15620] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.225 -05 [15112] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:31:32.225 -05 [23156] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.047 -05 [24724] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.047 -05 [8600] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.047 -05 [7352] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.048 -05 [14568] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.048 -05 [12880] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:34:55.049 -05 [23836] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.656 -05 [9228] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.657 -05 [16924] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.657 -05 [20248] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.657 -05 [9668] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.658 -05 [15768] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.658 -05 [3140] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:35:59.659 -05 [15660] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.268 -05 [7492] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.268 -05 [19948] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.269 -05 [10528] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.269 -05 [21736] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.269 -05 [700] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.270 -05 [13632] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:00.270 -05 [25512] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:25.765 -05 [24980] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:37:25.765 -05 [23576] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.761 -05 [6232] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.762 -05 [6424] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.762 -05 [19880] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.762 -05 [16248] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.762 -05 [19148] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.764 -05 [20672] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:41:01.763 -05 [14856] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.132 -05 [6484] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.133 -05 [22192] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.132 -05 [19684] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.135 -05 [5192] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.137 -05 [2948] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.137 -05 [10948] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.139 -05 [14808] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:47:04.140 -05 [13092] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.208 -05 [7296] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.210 -05 [19716] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.211 -05 [4996] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.211 -05 [9060] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.212 -05 [15436] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.212 -05 [6912] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.214 -05 [14440] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:56:49.219 -05 [19916] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.009 -05 [19792] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.013 -05 [548] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.013 -05 [9824] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.014 -05 [24240] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.014 -05 [13804] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.014 -05 [5064] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.015 -05 [15224] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.015 -05 [24656] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:02.016 -05 [8664] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:44.646 -05 [8508] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:44.647 -05 [568] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:44.647 -05 [10476] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:58:44.647 -05 [4544] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:59:44.214 -05 [8312] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:59:44.214 -05 [9712] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:59:44.215 -05 [23100] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 22:59:44.215 -05 [25424] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.495 -05 [13064] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.496 -05 [21396] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.497 -05 [7976] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.497 -05 [19228] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.497 -05 [15184] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.499 -05 [18624] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.501 -05 [636] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.502 -05 [4640] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:18:53.504 -05 [17536] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.817 -05 [13352] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.818 -05 [21100] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.819 -05 [13912] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.819 -05 [8144] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.820 -05 [13132] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.822 -05 [13536] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.822 -05 [14240] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:22:00.824 -05 [3808] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.253 -05 [15404] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.253 -05 [6972] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.253 -05 [11600] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.254 -05 [1180] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.254 -05 [9752] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.254 -05 [19788] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.255 -05 [13088] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:26:14.258 -05 [24480] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.976 -05 [14548] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.976 -05 [4436] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.976 -05 [19824] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.978 -05 [15496] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.979 -05 [10856] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.979 -05 [132] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.983 -05 [23108] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:10.983 -05 [21116] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:52.735 -05 [24448] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:52.735 -05 [15368] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:52.735 -05 [19424] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:52.735 -05 [20120] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:28:52.736 -05 [8536] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.603 -05 [12552] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.603 -05 [17684] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.603 -05 [10332] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.604 -05 [21864] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.605 -05 [10100] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.606 -05 [6428] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.606 -05 [18488] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:03.606 -05 [11956] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.821 -05 [25444] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.821 -05 [18164] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.821 -05 [12076] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.821 -05 [25200] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.822 -05 [3132] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.823 -05 [18540] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.823 -05 [9428] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:30:54.824 -05 [24064] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.778 -05 [16280] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.778 -05 [4516] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.779 -05 [10976] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.780 -05 [18988] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.781 -05 [4220] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.781 -05 [6268] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.784 -05 [3040] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.786 -05 [16028] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:31:33.786 -05 [15120] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.743 -05 [19172] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.742 -05 [21556] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.743 -05 [13500] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.743 -05 [12404] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.744 -05 [15436] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.745 -05 [20204] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.744 -05 [16324] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.750 -05 [15356] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:32:33.754 -05 [13960] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.006 -05 [5516] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.006 -05 [22236] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.007 -05 [22812] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.007 -05 [23472] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.009 -05 [21240] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.010 -05 [14120] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.011 -05 [16968] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:35:07.011 -05 [14684] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:36:21.234 -05 [4312] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:36:21.234 -05 [17360] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:36:21.234 -05 [6772] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:36:21.234 -05 [11812] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:36:21.235 -05 [24960] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.322 -05 [13556] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.322 -05 [24604] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.323 -05 [23548] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.325 -05 [22820] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.326 -05 [9512] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.326 -05 [10276] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.327 -05 [10068] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:37:26.327 -05 [5272] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.433 -05 [10900] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.433 -05 [24248] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.436 -05 [5944] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.436 -05 [1132] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.436 -05 [6648] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.437 -05 [5052] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.438 -05 [10864] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:39:22.439 -05 [5788] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.490 -05 [18640] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.498 -05 [21028] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.497 -05 [20276] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.499 -05 [22156] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.501 -05 [21100] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.502 -05 [22724] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.502 -05 [11996] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.502 -05 [1192] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
2023-06-08 23:53:48.504 -05 [12988] LOG:  no se pudo recibir datos del cliente: An existing connection was forcibly closed by the remote host.
	
